"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01000","Alabama","965,816","0","92,026","4,944","9.5","0.5","873,790","4,944","90.5","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01000","Alabama","968,663","0","98,567","5,059","10.2","0.5","870,096","5,059","89.8","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01000","Alabama","963,748","0","111,602","5,220","11.6","0.5","852,146","5,220","88.4","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01000","Alabama","958,994","0","128,146","5,714","13.4","0.6","830,848","5,714","86.6","0.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01000","Alabama","950,771","0","122,420","5,230","12.9","0.6","828,352","5,230","87.1","0.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01000","Alabama","948,065","0","126,057","5,618","13.3","0.6","822,008","5,618","86.7","0.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01000","Alabama","930,188","0","118,923","5,519","12.8","0.6","811,265","5,519","87.2","0.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2009","01000","Alabama","877,036","0","98,686","4,857","11.3","0.6","778,350","4,857","88.7","0.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2008","01000","Alabama","866,304","0","91,059","4,731","10.5","0.5","775,245","4,731","89.5","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2007","01000","Alabama","865,355","0","97,492","9,848","11.3","1.1","767,863","10,351","88.7","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2006","01000","Alabama","839,980","0","100,268","9,847","11.9","1.2","739,712","10,872","88.1","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01001","Autauga County, AL","10,749","0","917","228","8.5","2.1","9,832","228","91.5","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01001","Autauga County, AL","10,658","0","946","207","8.9","1.9","9,712","207","91.1","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01001","Autauga County, AL","10,433","0","1,090","227","10.4","2.2","9,343","227","89.6","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01001","Autauga County, AL","10,270","0","1,225","216","11.9","2.1","9,045","216","88.1","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01001","Autauga County, AL","10,101","0","1,102","206","10.9","2.0","8,999","206","89.1","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01001","Autauga County, AL","10,040","0","1,244","231","12.4","2.3","8,796","231","87.6","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01001","Autauga County, AL","9,711","0","926","197","9.5","2.0","8,785","197","90.5","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01003","Baldwin County, AL","43,581","0","4,069","789","9.3","1.8","39,512","789","90.7","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01003","Baldwin County, AL","42,646","0","4,392","761","10.3","1.8","38,254","761","89.7","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01003","Baldwin County, AL","41,746","0","5,228","792","12.5","1.9","36,518","792","87.5","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01003","Baldwin County, AL","40,669","0","5,893","827","14.5","2.0","34,776","827","85.5","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01003","Baldwin County, AL","39,584","0","5,133","778","13.0","2.0","34,451","778","87.0","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01003","Baldwin County, AL","39,207","0","5,568","834","14.2","2.1","33,639","834","85.8","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01003","Baldwin County, AL","38,051","0","5,669","854","14.9","2.2","32,382","854","85.1","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01005","Barbour County, AL","4,648","0","520","126","11.2","2.7","4,128","126","88.8","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01005","Barbour County, AL","4,797","0","510","111","10.6","2.3","4,287","111","89.4","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01005","Barbour County, AL","4,943","0","615","120","12.4","2.4","4,328","120","87.6","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01005","Barbour County, AL","5,010","0","749","132","15.0","2.6","4,261","132","85.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01005","Barbour County, AL","5,043","0","699","134","13.9","2.7","4,344","134","86.1","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01005","Barbour County, AL","5,111","0","816","152","16.0","3.0","4,294","152","84.0","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01005","Barbour County, AL","5,130","0","726","148","14.2","2.9","4,403","148","85.8","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01007","Bibb County, AL","4,237","0","363","93","8.6","2.2","3,874","93","91.4","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01007","Bibb County, AL","4,243","0","427","98","10.1","2.3","3,816","98","89.9","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01007","Bibb County, AL","4,209","0","495","100","11.8","2.4","3,714","100","88.2","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01007","Bibb County, AL","4,202","0","550","107","13.1","2.5","3,652","107","86.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01007","Bibb County, AL","4,116","0","488","100","11.8","2.4","3,629","100","88.2","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01007","Bibb County, AL","4,120","0","535","106","13.0","2.6","3,585","106","87.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01007","Bibb County, AL","4,060","0","544","114","13.4","2.8","3,516","114","86.6","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01009","Blount County, AL","11,527","0","1,375","291","11.9","2.5","10,152","291","88.1","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01009","Blount County, AL","11,536","0","1,450","283","12.6","2.5","10,086","283","87.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01009","Blount County, AL","11,482","0","1,560","279","13.6","2.4","9,922","279","86.4","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01009","Blount County, AL","11,463","0","1,959","299","17.1","2.6","9,504","299","82.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01009","Blount County, AL","11,417","0","1,804","291","15.8","2.5","9,612","291","84.2","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01009","Blount County, AL","11,484","0","1,684","281","14.7","2.4","9,800","281","85.3","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01009","Blount County, AL","11,229","0","1,584","289","14.1","2.6","9,645","289","85.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01011","Bullock County, AL","1,761","0","207","51","11.8","2.9","1,554","51","88.2","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01011","Bullock County, AL","1,883","0","209","50","11.1","2.7","1,674","50","88.9","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01011","Bullock County, AL","1,868","0","254","53","13.6","2.8","1,614","53","86.4","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01011","Bullock County, AL","1,915","0","298","57","15.6","3.0","1,617","57","84.4","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01011","Bullock County, AL","1,909","0","275","55","14.4","2.9","1,634","55","85.6","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01011","Bullock County, AL","1,952","0","249","53","12.8","2.7","1,703","53","87.2","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01011","Bullock County, AL","1,939","0","249","56","12.8","2.9","1,690","56","87.2","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01013","Butler County, AL","4,015","0","390","96","9.7","2.4","3,625","96","90.3","2.4"
